Suburb;Address;Rooms;Type;Price;Method;SellerG;Date;Distance;Postcode;Bedroom2;Bathroom;Car;Landsize;BuildingArea;YearBuilt;CouncilArea;Lattitude;Longtitude;Regionname;Propertycount
Abbotsford;5 Charles St;3;h;1465000;SP;Biggin;04/03/2017;25;3067;3;2;0;134;150;1900;Yarra City Council;-378093;1449944;Northern Metropolitan;4019
Abbotsford;25/84 Trenerry Cr;2;u;760000;SP;Biggin;10/12/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;106/119 Turner St;1;u;481000;SP;Purplebricks;10/12/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;7/20 Abbotsford St;1;u;441000;SP;Greg;14/05/2016;25;3067;1;1;1;0;;;Yarra City Council;-378016;1449988;Northern Metropolitan;4019
Abbotsford;5/20 Abbotsford St;1;u;426000;SP;Greg;22/08/2016;25;3067;1;1;1;0;;;Yarra City Council;-378016;1449988;Northern Metropolitan;4019
Abbotsford;17/1 Abbot St;3;t;962000;SP;Jellis;25/02/2017;25;3067;;;;;;;Yarra City Council;-377972;1449969;Northern Metropolitan;4019
Abbotsford;45 Yarra St;3;h;1195000;SP;Jellis;27/11/2016;25;3067;3;2;1;120;128;1998;Yarra City Council;-378022;1449954;Northern Metropolitan;4019
Abbotsford;82/84 Trenerry Cr;2;u;970000;SP;Biggin;28/05/2016;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;45 Trenerry Cr;3;h;1800000;SP;Biggin;08/04/2017;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;132 Vere St;3;h;1000000;SP;Biggin;08/04/2017;25;3067;3;1;0;198;98;1900;Yarra City Council;-378025;1449939;Northern Metropolitan;4019
Abbotsford;43/84 Trenerry Cr;2;h;745000;SP;Biggin;13/05/2017;25;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;14/205 Gipps St;2;u;750000;SP;Jellis;17/06/2017;3;3067;2;1;1;2379;69;2013;Yarra City Council;-3780554;14499612;Northern Metropolitan;4019
Abbotsford;11/328 Johnston St;2;u;650000;SP;Collings;15/07/2017;3;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;604/88 Trenerry Cr;2;u;683000;SP;Woodards;23/09/2017;3;3067;2;2;1;;;2013;Yarra City Council;-3779793;14499818;Northern Metropolitan;4019
Abbotsford;120/6 Acacia Pl;1;u;313000;SP;Biggin;14/10/2017;3;3067;;;;;;;Yarra City Council;;;Northern Metropolitan;4019
Abbotsford;85 Turner St;2;h;1480000;S;Biggin;03/12/2016;25;3067;2;1;1;202;;;Yarra City Council;-377996;1449984;Northern Metropolitan;4019
